Category,net_spend,savings,on_time_rate,average_days_late,records
IT Software,299551457.16,35811730.06,0.6769759450171822,3.0481099656357387,582
Professional Svcs,163883292.68,20631638.2,0.6419047619047619,3.6704761904761907,525
Marketing,137517425.44,14112869.86,0.615678776290631,4.6500956022944555,523
IT Hardware,117048533.0,12687639.62,0.6237816764132553,4.703703703703703,513
HR & Training,90254182.18,9081970.35,0.6354775828460039,4.34307992202729,513
Logistics,57404279.53,7043878.39,0.6356435643564357,4.116831683168317,505
Maintenance,28478310.02,3433006.34,0.6047516198704104,4.792656587473002,463
Office Supplies,7638862.21,756373.56,0.6610169491525424,3.8041431261770247,531
Facilities,6662266.05,661476.62,0.6621621621621622,3.7335907335907335,518
Raw Materials,356675.7,46363.86,0.6470588235294118,4.144212523719165,527
