Supplier Name,records,on_time_rate,average_days_late,savings,average_savings_pct,average_esg_score,average_risk_score,net_spend,performance_score
Nordic Office Solutions,380,0.6447368421052632,4.573684210526316,7992351.9799999995,8.48421052631579,89.1,1.0,64170240.49,77.78968273500924
Blue Horizon Packaging,347,0.6657060518731989,3.4121037463976944,10364700.45,10.526224783861672,50.9,1.0,73825230.64,76.80824207492796
Pacific Rim Supplies,346,0.6271676300578035,4.592485549132948,5895080.85,8.439017341040463,77.2,1.0,61186095.2,74.57811256151687
Cornerstone Services,337,0.6646884272997032,3.8427299703264093,8396784.69,8.505044510385757,67.8,1.0,68316050.76,74.38712351073525
EuroBuild Materials,311,0.6463022508038585,3.459807073954984,7330762.45,7.683601286173634,80.5,1.0,49797372.77,73.85054302155027
Apex Industrial Supplies,320,0.628125,3.909375,5401343.38,7.865,75.2,1.0,56731184.18,72.5804437934622
FastTrack Logistics,342,0.6783625730994152,3.8859649122807016,6901417.2299999995,8.759941520467837,52.3,1.0,59352716.24,72.56055210211551
Iron Gate Steel,335,0.6179104477611941,4.038805970149253,5412195.79,8.823880597014925,75.7,2.0,43900687.87,70.0046950322036
GlobalParts Ltd,358,0.6340782122905028,4.195530726256983,7536625.4,9.092737430167597,55.1,2.0,55018898.21,67.29765421248872
Delta Engineering,351,0.6609686609686609,3.6923076923076925,7552966.74,7.9014245014245015,63.2,2.0,74545558.56,66.59800095876753
Quantum Electronics,374,0.6631016042780749,3.5748663101604277,8025365.3,9.244385026737968,41.5,2.0,56278947.92,66.17078927881128
TechPro Components,345,0.6434782608695652,4.055072463768116,7106268.2299999995,7.511594202898551,41.4,1.0,65915159.8,65.42735899859302
SunRise Manufacturing,350,0.5885714285714285,5.0685714285714285,6055452.14,7.831428571428572,41.6,1.0,60963697.03,64.18262153769135
Meridian Tech,354,0.6242937853107344,4.621468926553672,6045374.87,8.57683615819209,44.8,2.0,59684845.19,63.37594579636949
Atlantic Raw Materials,350,0.6314285714285715,4.145714285714286,4250257.359999999,8.073142857142857,52.0,3.0,59108599.11,58.665798922098546
